title,subtitle,artist,img_link,year
Episodes from the Lives of Mary Magdalene and Saint John the Baptist,Tempera on panel,"Serra, Jaume",https://content1.cdnprado.net/imagenes/Documentos/imgsem/98/98b8/98b8d997-5a43-49a7-92aa-e6e8409c5616/474007ef-6956-48c9-bbfc-4a0c51a5d7d2_268.jpg,1362
"The Virgin of Tobed with the Donors Henry II of Castile, his Wife Juana...",Tempera on panel,"Serra, Jaume",https://content3.cdnprado.net/imagenes/Documentos/imgsem/39/3977/3977d582-961a-4fb9-8a4f-ea7d0573882b/8d349af6-1705-48b4-81eb-eced83dd959d_268.jpg,1362
Saint Eligius in his Goldsmith's Workshop,"Tempera, Gilded on panel",Master Of The Madonna Della Misericordia,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a9/a90f/a90f2403-fb27-420b-ae9d-5bd95850b780/5eca70f6-7a4b-44de-9c41-5bef5a3d7816_268.jpg,1370
Saint Eligius before King Chlothar II,"Tempera, Gilded on panel",Master Of The Madonna Della Misericordia,https://content3.cdnprado.net/imagenes/Documentos/imgsem/bc/bce6/bce6689e-909a-432a-bf7a-7fac50ea36b1/93940012-4f31-4d6d-ac04-0513bd106e19_268.jpg,1370
Our Lady of Humility,"Mixed method, Tempera on panel","Nicolau, Pere",https://content3.cdnprado.net/imagenes/Documentos/imgsem/df/df72/df72ec7b-2aca-40b0-ab4b-296f96b002e7/fabfe19b-c5fd-45d2-8f18-7647bcd10d5a_268.jpg,1400
Coffered Ceiling,"Polychromed, Carved",Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a5/a53a/a53ae65a-fe9b-4370-bcb4-4d27edf79736/091be41c-ae92-400d-8f15-0ac572a50927_268.jpg,1400
Saint Andrew refusing to worship the Idol,Tempera on poplar panel,"Borrassà, Luis",https://content1.cdnprado.net/imagenes/Documentos/imgsem/39/39ec/39ec035f-ec21-4f35-9b77-47cdff502e89/6f52244d-9c0f-4c6c-8fca-459faeb72bd8_268.jpg,1405
Our Lady of the Milk between Saint Bernard and Saint Benedict,"Tempera, Gilded on panel","Lembrí, Pere (?)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/9b/9b37/9b376cb9-cb0b-4fb1-80c2-12da1fdd09f6/cc369e4d-79ca-4158-a8af-91be6ab599b2_268.jpg,1415
Saint Luke,Tempera on panel,"Sevilla, Juan de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/61/61b5/61b5e23c-0768-4177-99a2-e98f81bd4836/c5ff92ca-6692-47d7-9d12-68bc51b69f26_268.jpg,1435
The Virgin nursing the Child,Oil on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/f2/f27f/f27f30f5-541f-42af-b92e-01d0de395436/da132bdc-283d-4b5b-ac7a-0dac1f9dad15_268.jpg,1400
Visio Tondali,Oil on panel,"Bosch, Hieronymus (Copy)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ed/ed19/ed19fa42-83e3-443b-96b1-04261634bb14/0561a40c-cca1-4357-a01f-b62801f1183a_268.jpg,1400
"Isabella of Bourbon, Countess of Charolais",Oil on canvas mounted on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/65/651b/651b51e1-2900-495e-bb8f-76851b44c223/97d59759-a419-4a48-bec3-365f0a5ce4e1_268.jpg,1400
"Charles the Bold, Duke of Burgundy",Oil on canvas mounted on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b9/b978/b9781d82-277a-4c72-bc8e-912448dfce03/f862c0ae-9f3f-48b3-8628-b8628f752485_268.jpg,1400
The Temptations of Saint Anthony,Oil on oak panel,"Bosch, Hieronymus (Copy)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c8/c8f1/c8f147bd-a03f-42fa-a569-0f110a54d4ca/d53592e4-b4a8-4ff2-9502-c9ba37fbf65f_268.jpg,1500
