title,subtitle,artist,img_link,year,img_name
The Nativity,Oil on panel,Master Of Sopetrán,https://content3.cdnprado.net/imagenes/Documentos/imgsem/57/578b/578b38be-fd64-4a67-b1eb-e3847ce90f9a/9d2b4839-b124-40a1-a2b6-77651d0cab6f_268.jpg,1470,9d2b4839-b124-40a1-a2b6-77651d0cab6f_268.jpg
The Death of the Virgin,Oil on panel,Master Of Sopetrán,https://content3.cdnprado.net/imagenes/Documentos/imgsem/98/988b/988b42fb-d197-4c55-bb6b-c7d5f48622bd/144b777f-2b40-4a18-8222-bf209a482068_268.jpg,1470,144b777f-2b40-4a18-8222-bf209a482068_268.jpg
Saint Sebastian speaking to Marcus and Marcellian and Saint Sebastian and...,Oil on panel,"García de Benabarre, Pedro",https://content.cdnprado.net/imagenes/Documentos/imgsem/07/0719/0719d982-abfe-40eb-836c-4285f218bd31/3d00457b-5ee8-40aa-a4b9-b18c93ea7178_268.jpg,1470,3d00457b-5ee8-40aa-a4b9-b18c93ea7178_268.jpg
Triptych of the Adoration of the Magi,Oil on panel,"Memling, Hans",https://content3.cdnprado.net/imagenes/Documentos/imgsem/0e/0efd/0efd3706-0f54-4a23-87e3-dc8cd930e85a/3bf84eca-c28d-43a2-bbd7-02bdd3feeb7f_268.jpg,1472,3bf84eca-c28d-43a2-bbd7-02bdd3feeb7f_268.jpg
The Crucifixion with Saints and Donors,Oil on panel,"Goes, Hugo Van Der (Follower Of)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/32/3225/32250b0f-a30a-4357-b417-3ff4a095b08f/51224782-0252-4387-988e-729805ab663f_268.jpg,1475,51224782-0252-4387-988e-729805ab663f_268.jpg
The Betrothal of the Virgin / Cristo Patiens,Oil on panel,Master Of The Legend Of Saint Catherine,https://content3.cdnprado.net/imagenes/Documentos/imgsem/9b/9b0b/9b0b9a6a-c7c8-4320-ab18-97d0bd4befd8/7ae939a1-1977-415f-8d1f-a0af276d3653_268.jpg,1500,7ae939a1-1977-415f-8d1f-a0af276d3653_268.jpg
The Virgin of the Knight of Montesa,Oil on panel,"San Leocadio, Paolo Da",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c9/c972/c9725f6f-5d13-42a9-aa63-ecf27c805d91/ef289ebe-5ff5-48b6-968f-44b5107ba2d5_268.jpg,1476,ef289ebe-5ff5-48b6-968f-44b5107ba2d5_268.jpg
Saint Dominic of Silos enthroned as a Bishop,Oil on panel,"Bermejo, Bartolomé",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f4/f4cd/f4cd7ad1-cc50-48fe-86f5-71dfe6672db1/2a72538d-c420-4775-a8db-1878f1ca5bb1_268.jpg,1477,2a72538d-c420-4775-a8db-1878f1ca5bb1_268.jpg
Christ between the Virgin and Saint John,Oil on pine panel,"Cruz, Diego de la",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c1/c1ee/c1eef00d-3be3-4fd9-b090-cdc9f46852de/e42c0d55-4227-4ec3-baa0-9f68173d76d1_268.jpg,1480,e42c0d55-4227-4ec3-baa0-9f68173d76d1_268.jpg
The Crucifixion,Oil on panel,Master Of The Legend Of Saint Catherine,https://content3.cdnprado.net/imagenes/Documentos/imgsem/55/5525/55252b64-0126-4d3c-a461-7dfa6549a45d/c5076704-cac0-45d2-b81e-4ef625046cf1_268.jpg,1485,c5076704-cac0-45d2-b81e-4ef625046cf1_268.jpg
The Calling of Saint Catherine of Sienna,Oil on panel,"Romana, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/4d/4d83/4d83419d-44e1-44e7-8daf-30ed8432a88d/03f185cc-6d9f-4e63-b23f-f53f2a37d1b4_268.jpg,1929,03f185cc-6d9f-4e63-b23f-f53f2a37d1b4_268.jpg
Ferdinand I of Castile welcoming Saint Dominic of Silos,Oil on panel,"Bernat, Martín; Bermejo, Bartolomé",https://content3.cdnprado.net/imagenes/Documentos/imgsem/77/7726/7726ac67-dca7-4a54-8daa-431f90d19a09/9434fe20-ee10-4d61-8d60-97c0d4bc7651_268.jpg,1479,9434fe20-ee10-4d61-8d60-97c0d4bc7651_268.jpg
Saint John the Baptist and a Donor,Oil on panel,"Cruz, Diego de la",https://content1.cdnprado.net/imagenes/Documentos/imgsem/2a/2a85/2a85cbe2-3767-4cca-9c18-e33fe8d3b92f/7a8ddcb8-93d2-4f42-a12e-45422746b021_268.jpg,1485,7a8ddcb8-93d2-4f42-a12e-45422746b021_268.jpg
The Virgin and Child with two Angels,Oil on panel,"Memling, Hans",https://content3.cdnprado.net/imagenes/Documentos/imgsem/1c/1c1d/1c1df577-9e66-4944-a3df-f6f39d5bb495/37ac7953-28cd-4f85-8293-de7881f5d378_268.jpg,1490,37ac7953-28cd-4f85-8293-de7881f5d378_268.jpg
The Saviour,Oil on panel,"San Leocadio, Paolo Da",https://content2.cdnprado.net/imagenes/Documentos/imgsem/90/90f5/90f5a33e-8cd7-46a1-a15d-9ae727f133f2/494c47b8-f075-4bf9-bfe1-fc590924ca9e_268.jpg,1484,494c47b8-f075-4bf9-bfe1-fc590924ca9e_268.jpg
Mater Dolorosa,Oil on panel,"San Leocadio, Paolo Da",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b6/b6c3/b6c3a55a-e3fd-4773-93b9-ba9854e810da/e043092d-79b9-4eb5-9cb0-4730b8ab407e_268.jpg,1484,e043092d-79b9-4eb5-9cb0-4730b8ab407e_268.jpg
The Lamentation over the Dead Christ,Oil on panel,Master Of The Virgo Inter Virgines,https://content3.cdnprado.net/imagenes/Documentos/imgsem/18/1867/18674bef-dabb-4f66-966e-018fb3b16b43/268e4f53-6222-484e-b95f-388c27fac0a9_268.jpg,1490,268e4f53-6222-484e-b95f-388c27fac0a9_268.jpg
Pontius Pilate Washing his Hands,Oil on panel,"Osona, Rodrigo de; Osona, Francisco de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6f/6fbd/6fbd3088-db98-41a2-af77-751a8e5529f7/bc908e79-54ff-470e-98bf-f55319bd92b3_268.jpg,1490,bc908e79-54ff-470e-98bf-f55319bd92b3_268.jpg
The Flagellation,Oil on panel,"Osona, Rodrigo de; Osona, Francisco de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/eb/eb95/eb95097c-57cb-4876-82eb-a54be00a7be5/9f9c0283-ef53-4072-ac11-3d89e6e25554_268.jpg,1490,9f9c0283-ef53-4072-ac11-3d89e6e25554_268.jpg
Agony in the Garden,Oil on panel,"Osona, Rodrigo de; Osona, Francisco de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/9c/9c82/9c82a37d-32ff-4be2-a2e9-10855302e70c/9c08e860-3a87-40ba-972b-0cd40b258649_268.jpg,1490,9c08e860-3a87-40ba-972b-0cd40b258649_268.jpg
Queen Isabella the Catholic,Oil on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/dd/dd92/dd9275b0-8d37-46da-9049-22f2ef0791df/4b9799e7-dbbb-4b9c-a76b-d5d58e75a371_268.jpg,1490,4b9799e7-dbbb-4b9c-a76b-d5d58e75a371_268.jpg
Scenes from the Life of Saint Antony Abbot,Oil on panel,"Abadía el Viejo, Juan de la",https://content1.cdnprado.net/imagenes/Documentos/imgsem/46/4671/4671b30e-9144-4546-a9ec-8b208ff811fd/7f0153e3-8495-4fe6-a8c4-962bb689c811_268.jpg,1490,7f0153e3-8495-4fe6-a8c4-962bb689c811_268.jpg
The Virgin and Child between Mary Magdalene and Saint Ursula,Oil on panel,"Bellini, Giovanni (And Workshop)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/76/7697/7697e7d4-cc47-4331-bfd8-3b83a7cfc0cd/67b1f18d-d5b5-4047-8f3e-02c374916c4f_268.jpg,1490,67b1f18d-d5b5-4047-8f3e-02c374916c4f_268.jpg
